iaa_id,test_index,question,reference_answer
1,1,Which British fort replaced Fort Duquesne at Pittsburgh's Point?,Fort Pitt
2,2,Which two rivers meet to form the Ohio River in Pittsburgh?,Allegheny River and Monongahela River
3,3,What U.S. state is Pittsburgh located in?,Pennsylvania
4,5,What Pittsburgh neighborhood is also called the city's Little Italy?,Bloomfield
5,6,How many neighborhoods are listed for Pittsburgh?,90
6,7,How many bridges are associated with Pittsburgh in the corpus?,446 bridges
7,10,What school did Andrew Carnegie establish in 1900?,Carnegie Technical Schools
8,14,In what Pittsburgh neighborhood is Carnegie Mellon's urban campus nestled?,Oakland
9,15,Name one CMU researcher associated with the early history of AI at CMU.,Alan Newell; Herb Simon; Allen Perlis; Raj Reddy
10,18,Who created the Carnegie Institute in Pittsburgh?,Andrew Carnegie
11,20,What is the historic house at The Frick Pittsburgh called?,Clayton
12,21,What opera company is based in Pittsburgh?,Pittsburgh Opera
13,23,What festival is described as the destination for all things pickled?,Picklesburgh
14,24,When does Picklesburgh 2026 run?,"July 16-19, 2026"
15,26,What annual Pittsburgh festival celebrates tacos and Mexican cuisine?,The Original Pittsburgh Taco Festival
16,30,Which Westmoreland County festival celebrates the birthplace of the banana split?,The Great American Banana Split Celebration
17,31,What ballpark is home to the Pittsburgh Pirates?,PNC Park
18,33,What arena is home to the Pittsburgh Penguins?,PPG Paints Arena
19,34,How many Super Bowl championships are associated with the Steelers on Visit Pittsburgh?,six
20,35,How many Stanley Cup championships are associated with the Penguins on Visit Pittsburgh?,five
21,36,Under what name was the Pirates franchise founded?,Allegheny Base Ball Club of Pittsburgh
22,37,When was the Pittsburgh Pirates franchise founded?,1881
23,38,What colors are shared by Pittsburgh's major professional sports teams?,black and gold
24,39,Which Pittsburgh team helped inspire the nickname Sixburgh?,Pittsburgh Steelers
25,40,What is the PNC Park right-field wall called?,Clemente Wall
