split	topic	source_hint	question	reference_answer
train	general_history	wiki_pittsburgh	Who is Pittsburgh named after?	William Pitt the Elder
train	general_history	wiki_pittsburgh	Which British statesman gave Pittsburgh its name?	William Pitt the Elder
train	general_history	wiki_pittsburgh	Who named Pittsburgh in 1758?	General John Forbes
train	general_history	wiki_history_pittsburgh	What French fort stood at Pittsburgh's Point before Fort Pitt?	Fort Duquesne
train	general_history	wiki_pittsburgh	What park marks the confluence of Pittsburgh's three rivers?	Point State Park
train	general_history	wiki_pittsburgh	Which river is formed where the Allegheny and Monongahela rivers meet?	Ohio River
train	general_history	wiki_pittsburgh	What nickname reflects Pittsburgh's large number of bridges?	City of Bridges
train	general_history	wiki_pittsburgh	How many bridges does Pittsburgh have according to the Pittsburgh Wikipedia page?	446 bridges
train	general_history	wiki_pittsburgh	How many distinct neighborhoods does Pittsburgh have?	90
train	general_history	wiki_pittsburgh	Which Pittsburgh neighborhood is known as Little Italy?	Bloomfield
train	general_history	britannica_pittsburgh	What is the name of Downtown Pittsburgh's triangular business district?	Golden Triangle
train	general_history	wiki_pittsburgh	What industry is behind Pittsburgh's nickname Steel City?	steel industry
train	general_history	wiki_pittsburgh	Which famous Pittsburgh incline overlooks downtown from Mount Washington?	Duquesne Incline
train	general_history	britannica_pittsburgh	What park contains the Fort Pitt Blockhouse and Fort Pitt Museum?	Point State Park
train	general_history	wiki_pittsburgh	What are Pittsburgh's traditional sports colors?	black and gold
train	cmu	wiki_cmu	Who founded the Carnegie Technical Schools?	Andrew Carnegie
train	cmu	wiki_cmu	When were the Carnegie Technical Schools established?	November 15, 1900
train	cmu	wiki_cmu	In what year did Carnegie Tech merge with the Mellon Institute to become Carnegie Mellon University?	1967
train	cmu	wiki_cmu	What institution merged with Carnegie Tech to form Carnegie Mellon University?	Mellon Institute of Industrial Research
train	cmu	wiki_cmu	What university was formed by the merger of Carnegie Tech and the Mellon Institute?	Carnegie Mellon University
train	cmu	wiki_cmu	Who founded the Mellon Institute of Industrial Research?	Richard Mellon and Andrew Mellon
train	cmu_history	cmu_ai_history	In what year did CMU establish its computer science department?	1965
train	cmu_history	cmu_ai_history	What CMU institute was founded in 1979 as the first robotics institute at a U.S. university?	Robotics Institute
train	cmu_history	cmu_ai_history	In what year did CMU found the Robotics Institute?	1979
train	cmu_history	cmu_ai_history	What CMU institute was launched in 1984 with government funding?	Software Engineering Institute
train	cmu_history	cmu_ai_history	What CMU school was announced in 1988 as a college devoted solely to computer science?	School of Computer Science
train	cmu	wiki_cmu	What campus object at Carnegie Mellon is considered the world's most painted object?	The Fence
train	cmu	cmu_visit	What Jonathan Borofsky sculpture is a landmark on Carnegie Mellon's campus?	Walking to the Sky
train	cmu	cmu_visit	What Pittsburgh neighborhood contains Carnegie Mellon's main campus?	Oakland
train	cmu	cmu_about	Name one place outside Pittsburgh where Carnegie Mellon has a campus presence.	Silicon Valley; Qatar; Africa
train	cmu	cmu_about	What four campus locations does CMU list on its about page?	Pittsburgh, Silicon Valley, Qatar, and Africa
train	cmu_history	cmu_ai_history	Name one early CMU researcher who helped establish artificial intelligence at CMU.	Alan Newell; Herb Simon; Allen Perlis; Raj Reddy
train	cmu	wiki_cmu_scs	What complex is home to much of Carnegie Mellon's School of Computer Science?	Gates-Hillman Complex
train	museums	carnegie_museums_about	How many museums are in Carnegie Museums of Pittsburgh?	four
train	museums	carnegie_museums_about	Name one of the four Carnegie Museums of Pittsburgh.	Carnegie Museum of Art; Carnegie Museum of Natural History; Kamin Science Center; The Andy Warhol Museum
train	museums	carnegie_museums_history	What organization was founded in November 1895 and is now Carnegie Museums?	Carnegie Institute
train	museums	carnegie_museums_history	Who founded Carnegie Institute, now Carnegie Museums?	Andrew Carnegie
train	museums	carnegie_museums_history	What did Andrew Carnegie call the original Carnegie Institute building?	his monument
train	museums	carnegie_museums_history	What museum joined Carnegie Museums in 1994?	The Andy Warhol Museum
train	museums	carnegie_museums_history	Which Carnegie museum's growth included the Sarah Scaife Galleries?	Carnegie Museum of Art
train	museums	britannica_pittsburgh	Which Carnegie museum houses the Henry Buhl Jr. Planetarium and Observatory?	Carnegie Science Center
train	museums_history	heinz_history_center	Which Pittsburgh museum calls itself Pittsburgh's people museum?	Heinz History Center
train	museums_history	heinz_history_center	What region's stories does the Heinz History Center focus on?	Western Pennsylvania
train	museums	frick_pittsburgh	What is the name of Henry Clay Frick's historic house at The Frick Pittsburgh?	Clayton
train	museums	frick_pittsburgh	How large is The Frick Pittsburgh's site?	10 acres
train	museums	frick_pittsburgh	What Frick structure served the Frick family from 1897 through the 1970s?	greenhouse
train	culture_music	wiki_pittsburgh_cultural_trust	What organization is associated with Pittsburgh's Cultural District?	Pittsburgh Cultural Trust
train	culture_music	wiki_pittsburgh_symphony	Which major orchestra is based in Pittsburgh?	Pittsburgh Symphony Orchestra
train	food_events	picklesburgh_visit	What annual Pittsburgh festival is the destination for all things pickled?	Picklesburgh
