row_id,topic,system,question,reference_answer,prediction,exact_match,token_f1,answer_recall
2,general_history,closed_book,Which two rivers meet to form the Ohio River in Pittsburgh?,Allegheny River and Monongahela River,unknown,0.0000,0.0000,0.0000
4,general_history,closed_book,What nickname connects Pittsburgh to steelmaking?,Steel City,"Pittsburgh is known as the ""Steel City",0.0000,0.5000,1.0000
5,general_history,closed_book,What Pittsburgh neighborhood is also called the city's Little Italy?,Bloomfield,Liberty Heights,0.0000,0.0000,0.0000
6,general_history,closed_book,How many neighborhoods are listed for Pittsburgh?,90,unknown,0.0000,0.0000,0.0000
7,general_history,closed_book,How many bridges are associated with Pittsburgh in the corpus?,446 bridges,unknown,0.0000,0.0000,0.0000
8,general_history,closed_book,What is the name of Pittsburgh's Downtown triangle?,Golden Triangle,Heinz Field,0.0000,0.0000,0.0000
9,cmu,closed_book,What year did Carnegie Mellon University take its current name after a merger?,1967,unknown,0.0000,0.0000,0.0000
10,cmu,closed_book,What school did Andrew Carnegie establish in 1900?,Carnegie Technical Schools,unknown,0.0000,0.0000,0.0000
11,cmu_history,closed_book,Which CMU institute was the first robotics institute at a U.S. university?,Robotics Institute,Carnegie Mellon Robotics Institute,0.0000,0.6667,1.0000
12,cmu_history,closed_book,Which CMU institute was launched in 1984?,Software Engineering Institute,unknown,0.0000,0.0000,0.0000
13,cmu,closed_book,What is The Fence at Carnegie Mellon often called?,the world's most painted object,The Frick Memorial,0.0000,0.0000,0.0000
14,cmu,closed_book,In what Pittsburgh neighborhood is Carnegie Mellon's urban campus nestled?,Oakland,Shadyside,0.0000,0.0000,0.0000
15,cmu_history,closed_book,Name one CMU researcher associated with the early history of AI at CMU.,Alan Newell; Herb Simon; Allen Perlis; Raj Reddy,John McCarthy,0.0000,0.0000,0.0000
16,museums,closed_book,How many institutions make up Carnegie Museums of Pittsburgh?,four,4,0.0000,0.0000,0.0000
17,museums,closed_book,Which Carnegie museum is devoted to Andy Warhol?,The Andy Warhol Museum,unknown,0.0000,0.0000,0.0000
